hotel_name,hotel_location,hotel_price,hotel_rating,hotel_score,hotel_review,hotel_link
Clarendon Hotel,"South Melbourne, Melbourne","₹ 7,461",Very good,8.5,"1,365 reviews",https://www.booking.com/hotel/au/clarendon.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=917851601_363342639_0_0_0&highlighted_blocks=917851601_363342639_0_0_0&matching_block_id=917851601_363342639_0_0_0&sr_pri_blocks=917851601_363342639_0_0_0__13446&from=searchresults
The Victoria Hotel,"Melbourne CBD, Melbourne","₹ 7,970",Very good,8.2,"12,068 reviews",https://www.booking.com/hotel/au/the-victoria-melbourne-an-all-seasons.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=4637802_341404804_2_2_0&highlighted_blocks=4637802_341404804_2_2_0&matching_block_id=4637802_341404804_2_2_0&sr_pri_blocks=4637802_341404804_2_2_0__14364&from=searchresults
YHA Melbourne Central,"Melbourne CBD, Melbourne","₹ 5,881",Good,7.7,"4,038 reviews",https://www.booking.com/hotel/au/melbourne-central-yha.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=35217108_398131477_0_2_0&highlighted_blocks=35217108_398131477_0_2_0&matching_block_id=35217108_398131477_0_2_0&sr_pri_blocks=35217108_398131477_0_2_0__10600&from_sustainable_property_sr=1&from=searchresults
ibis Styles Melbourne Airport,Melbourne,"₹ 9,433",Very good,8.5,"3,284 reviews",https://www.booking.com/hotel/au/ibis-styles-melbourne-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=1189923102_391400112_2_2_0&highlighted_blocks=1189923102_391400112_2_2_0&matching_block_id=1189923102_391400112_2_2_0&sr_pri_blocks=1189923102_391400112_2_2_0__17000&from_sustainable_property_sr=1&from=searchresults
Oaks Melbourne on William Suites,"Melbourne CBD, Melbourne","₹ 9,086",Very good,8.2,"5,075 reviews",https://www.booking.com/hotel/au/oaks-on-william.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=54946702_295381271_2_0_0_622463&highlighted_blocks=54946702_295381271_2_0_0_622463&matching_block_id=54946702_295381271_2_0_0_622463&sr_pri_blocks=54946702_295381271_2_0_0_622463_16376&from=searchresults
YEHS Hotel Melbourne CBD,"Melbourne CBD, Melbourne","₹ 6,019",Good,7.3,"10,381 reviews",https://www.booking.com/hotel/au/ibis-melbourne-little-bourke-street.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=4183204_0_2_0_0&highlighted_blocks=4183204_0_2_0_0&matching_block_id=4183204_0_2_0_0&sr_pri_blocks=4183204_0_2_0_0__10849&from=searchresults
Ink Hotel Melbourne Southbank,"Southbank, Melbourne","₹ 6,685",Very good,8.3,"3,920 reviews",https://www.booking.com/hotel/au/167-melbourne-southbank.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=524219202_0_2_0_0&highlighted_blocks=524219202_0_2_0_0&matching_block_id=524219202_0_2_0_0&sr_pri_blocks=524219202_0_2_0_0__12047&from=searchresults
Tolarno Hotel,"St Kilda, Melbourne","₹ 4,183",Good,7.2,"1,209 reviews",https://www.booking.com/hotel/au/tolarno.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=42522208_0_2_0_0&highlighted_blocks=42522208_0_2_0_0&matching_block_id=42522208_0_2_0_0&sr_pri_blocks=42522208_0_2_0_0__7539&from=searchresults
Vibe Hotel Melbourne Docklands,"Docklands, Melbourne","₹ 9,548",Very good,8.3,"4,818 reviews",https://www.booking.com/hotel/au/vibe-melbourne-docklands.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=216276118_391312052_2_2_0_624137&highlighted_blocks=216276118_391312052_2_2_0_624137&matching_block_id=216276118_391312052_2_2_0_624137&sr_pri_blocks=216276118_391312052_2_2_0_624137_17208&from=searchresults
Citadines on Bourke Melbourne,"Melbourne CBD, Melbourne","₹ 11,042",Very good,8.5,"8,682 reviews",https://www.booking.com/hotel/au/citadines-melbourne-on-bourke.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=17674401_335985550_2_0_0_269685&highlighted_blocks=17674401_335985550_2_0_0_269685&matching_block_id=17674401_335985550_2_0_0_269685&sr_pri_blocks=17674401_335985550_2_0_0_269685_19900&from=searchresults
DoubleTree by Hilton Melbourne,"Melbourne CBD, Melbourne","₹ 10,376",Very good,8.5,"1,657 reviews",https://www.booking.com/hotel/au/doubletree-hilton-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=4777841_278571206_2_42_0&highlighted_blocks=4777841_278571206_2_42_0&matching_block_id=4777841_278571206_2_42_0&sr_pri_blocks=4777841_278571206_2_42_0__18700&from_sustainable_property_sr=1&from=searchresults
Causeway 353 Hotel,"Melbourne CBD, Melbourne","₹ 7,409",Very good,8.2,"9,085 reviews",https://www.booking.com/hotel/au/causeway-353-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=17819802_402801982_2_0_0&highlighted_blocks=17819802_402801982_2_0_0&matching_block_id=17819802_402801982_2_0_0&sr_pri_blocks=17819802_402801982_2_0_0__13353&from=searchresults
Radisson On Flagstaff Gardens Melbourne,"Melbourne CBD, Melbourne","₹ 9,932",Very good,8.3,"3,226 reviews",https://www.booking.com/hotel/au/radisson-on-flagstaff-gardens.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=3791801_145796184_2_2_0&highlighted_blocks=3791801_145796184_2_2_0&matching_block_id=3791801_145796184_2_2_0&sr_pri_blocks=3791801_145796184_2_2_0__17900&from=searchresults
Europa Melbourne,"Melbourne CBD, Melbourne","₹ 5,933",Good,7.6,"4,666 reviews",https://www.booking.com/hotel/au/europa-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=191547412_365236143_2_1_0_433827&highlighted_blocks=191547412_365236143_2_1_0_433827&matching_block_id=191547412_365236143_2_1_0_433827&sr_pri_blocks=191547412_365236143_2_1_0_433827_10692&from=searchresults
The Marker Apartments Melbourne,"West Melbourne, Melbourne","₹ 12,089",Fabulous,8.8,"2,593 reviews",https://www.booking.com/hotel/au/the-marker-apartments-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=917052601_412478557_2_0_0_544890&highlighted_blocks=917052601_412478557_2_0_0_544890&matching_block_id=917052601_412478557_2_0_0_544890&sr_pri_blocks=917052601_412478557_2_0_0_544890_21787&from=searchresults
"The StandardX, Melbourne","Fitzroy, Melbourne","₹ 13,261",Superb,9.4,870 reviews,https://www.booking.com/hotel/au/the-standard-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=1013371914_382663263_2_42_0&highlighted_blocks=1013371914_382663263_2_42_0&matching_block_id=1013371914_382663263_2_42_0&sr_pri_blocks=1013371914_382663263_2_42_0__23900&from=searchresults
Best Western Melbourne Airport,Melbourne,"₹ 8,788",Fabulous,8.6,"5,942 reviews",https://www.booking.com/hotel/au/airport-motel-convention-centre-best-western.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=17154710_0_2_0_0&highlighted_blocks=17154710_0_2_0_0&matching_block_id=17154710_0_2_0_0&sr_pri_blocks=17154710_0_2_0_0__15838&from=searchresults
ibis Melbourne Central,"Melbourne CBD, Melbourne","₹ 6,991",Very good,8.3,"5,620 reviews",https://www.booking.com/hotel/au/ibis-melbourne-central.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=401406703_123576393_2_2_0_368341&highlighted_blocks=401406703_123576393_2_2_0_368341&matching_block_id=401406703_123576393_2_2_0_368341&sr_pri_blocks=401406703_123576393_2_2_0_368341_12600&from_sustainable_property_sr=1&from=searchresults
Rendezvous Hotel Melbourne,"Melbourne CBD, Melbourne","₹ 10,431",Very good,8.3,"8,612 reviews",https://www.booking.com/hotel/au/rendezvous-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=3678302_244621034_2_2_0&highlighted_blocks=3678302_244621034_2_2_0&matching_block_id=3678302_244621034_2_2_0&sr_pri_blocks=3678302_244621034_2_2_0__18800&from=searchresults
Arrow on Swanston,"Carlton, Melbourne","₹ 5,487",Review score,6.2,"7,766 reviews",https://www.booking.com/hotel/au/arrow-swanston.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=26228808_0_2_0_0&highlighted_blocks=26228808_0_2_0_0&matching_block_id=26228808_0_2_0_0&sr_pri_blocks=26228808_0_2_0_0__9888&from=searchresults
Crown Promenade Melbourne,"Southbank, Melbourne","₹ 13,816",Very good,8.5,"9,616 reviews",https://www.booking.com/hotel/au/crown-promenade.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=3786101_131970484_0_2_0&highlighted_blocks=3786101_131970484_0_2_0&matching_block_id=3786101_131970484_0_2_0&sr_pri_blocks=3786101_131970484_0_2_0__24900&from=searchresults
Holiday Inn Express Melbourne Southbank by IHG,"Southbank, Melbourne","₹ 11,042",Very good,8.3,"3,462 reviews",https://www.booking.com/hotel/au/holiday-inn-express-melbourne-southbank.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=500448701_366938772_2_1_0&highlighted_blocks=500448701_366938772_2_1_0&matching_block_id=500448701_366938772_2_1_0&sr_pri_blocks=500448701_366938772_2_1_0__19900&from_sustainable_property_sr=1&from=searchresults
AC Hotel by Marriott Melbourne Southbank,"Southbank, Melbourne","₹ 11,652",Fabulous,8.8,"2,062 reviews",https://www.booking.com/hotel/au/ac-by-marriott-melbourne-southbank.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=811152901_343349438_0_2_0&highlighted_blocks=811152901_343349438_0_2_0&matching_block_id=811152901_343349438_0_2_0&sr_pri_blocks=811152901_343349438_0_2_0__21000&from=searchresults
Rydges Melbourne,"Melbourne CBD, Melbourne","₹ 13,845",Fabulous,8.9,"4,278 reviews",https://www.booking.com/hotel/au/rydges-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=3783970_335116599_0_34_0_89351&highlighted_blocks=3783970_335116599_0_34_0_89351&matching_block_id=3783970_335116599_0_34_0_89351&sr_pri_blocks=3783970_335116599_0_34_0_89351_24952&from=searchresults
ibis Melbourne Hotel and Apartments,"Melbourne CBD, Melbourne","₹ 8,378",Good,7.4,"3,583 reviews",https://www.booking.com/hotel/au/ibis-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4ApS2-8EGwAIB0gIkNGYxMmY4MTQtNDkxNy00M2E0LWJjMWMtNmZmZTJiZDk3MzNl2AIF4AIB&sid=64aa5402e8c047b61552764767756368&aid=304142&ucfs=1&arphpl=1&checkin=2025-06-24&checkout=2025-06-25&dest_id=-1586844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0ef2501b69be0d89&srepoch=1748949816&all_sr_blocks=3817007_388304105_2_2_0&highlighted_blocks=3817007_388304105_2_2_0&matching_block_id=3817007_388304105_2_2_0&sr_pri_blocks=3817007_388304105_2_2_0__15100&from=searchresults
